gay2016,gay2020,imm2016,imm2020,temp2016,temp2020,abort2016,abort2020
marry,marry,stay,citizen,more,more,choice,choice
marry,marry,stay,stay,more,more,choice,choice
no,marry,stay,stay,right,right,need,choice
marry,marry,deport,deport,right,more,need,exceptions
union,union,restrict,restrict,less,less,exceptions,
no,no,stay,citizen,more,more,never,choice
marry,marry,stay,stay,right,more,choice,choice
union,marry,stay,stay,more,more,exceptions,exceptions
union,union,stay,restrict,right,right,choice,choice
marry,marry,stay,stay,right,right,choice,exceptions
marry,marry,stay,stay,more,more,choice,choice
union,no,deport,deport,,right,exceptions,exceptions
marry,marry,stay,stay,right,right,choice,choice
marry,marry,stay,deport,right,right,exceptions,never
marry,union,stay,stay,more,more,choice,choice
no,no,restrict,deport,less,right,exceptions,never
union,union,restrict,stay,more,more,exceptions,choice
marry,marry,stay,restrict,right,less,exceptions,exceptions
marry,marry,stay,stay,right,more,choice,choice
marry,marry,citizen,citizen,right,right,choice,choice
marry,union,citizen,citizen,more,more,choice,need
marry,marry,stay,restrict,right,more,choice,need
marry,marry,stay,stay,more,more,choice,choice
marry,marry,stay,deport,more,less,exceptions,exceptions
union,,deport,,right,right,need,
marry,marry,citizen,citizen,right,right,choice,need
marry,marry,stay,citizen,more,more,choice,choice
marry,marry,stay,stay,more,more,choice,choice
union,union,citizen,stay,more,more,never,choice
no,no,deport,deport,right,right,exceptions,never
marry,marry,stay,stay,right,more,choice,need
marry,marry,stay,restrict,less,right,choice,choice
,marry,stay,stay,more,more,choice,need
marry,no,restrict,restrict,more,right,exceptions,exceptions
union,union,stay,restrict,less,right,exceptions,exceptions
marry,marry,stay,restrict,more,more,choice,choice
marry,marry,stay,citizen,more,more,choice,choice
marry,marry,citizen,citizen,more,more,choice,choice
marry,marry,citizen,restrict,more,right,need,choice
marry,marry,stay,stay,right,more,choice,never
marry,marry,stay,citizen,more,more,choice,choice
marry,marry,deport,deport,right,right,exceptions,need
union,union,restrict,deport,right,right,exceptions,never
marry,marry,stay,stay,more,more,choice,need
marry,marry,citizen,citizen,more,more,choice,choice
marry,marry,stay,citizen,right,right,choice,choice
marry,marry,restrict,deport,right,more,choice,choice
union,marry,deport,deport,right,more,exceptions,exceptions
marry,marry,stay,stay,more,more,choice,choice
marry,marry,stay,stay,right,more,never,never
no,no,restrict,stay,less,right,never,never
marry,marry,stay,stay,more,more,choice,choice
marry,marry,stay,stay,right,more,exceptions,need
marry,marry,restrict,restrict,right,right,choice,exceptions
union,union,citizen,citizen,right,more,exceptions,need
no,union,deport,deport,right,more,choice,exceptions
marry,marry,citizen,citizen,more,more,choice,choice
union,union,stay,stay,more,more,exceptions,
marry,marry,stay,restrict,right,right,exceptions,choice
union,no,stay,stay,more,right,exceptions,exceptions
marry,marry,citizen,stay,more,more,choice,choice
no,no,deport,deport,right,right,exceptions,exceptions
marry,marry,citizen,citizen,more,more,choice,choice
marry,marry,deport,restrict,more,more,need,need
marry,marry,citizen,stay,right,more,choice,choice
marry,marry,stay,stay,more,more,choice,choice
union,marry,stay,deport,right,right,never,never
union,union,restrict,stay,less,right,exceptions,exceptions
marry,marry,stay,stay,more,more,choice,choice
marry,marry,stay,stay,more,more,choice,choice
no,marry,restrict,stay,right,less,exceptions,
marry,marry,stay,stay,more,more,choice,choice
marry,marry,stay,restrict,,right,exceptions,exceptions
,marry,restrict,deport,right,right,,choice
no,no,deport,deport,more,more,exceptions,exceptions
union,marry,stay,stay,more,more,choice,need
marry,marry,citizen,citizen,more,more,choice,choice
marry,marry,stay,stay,more,more,choice,choice
,union,stay,stay,more,more,,choice
marry,marry,stay,stay,more,right,choice,choice
marry,marry,stay,stay,more,more,need,choice
marry,marry,stay,deport,more,more,choice,choice
marry,marry,stay,stay,more,more,choice,choice
marry,marry,deport,stay,more,right,exceptions,never
marry,marry,citizen,citizen,more,more,choice,choice
union,marry,stay,deport,right,right,choice,choice
marry,marry,citizen,citizen,more,more,choice,choice
union,marry,restrict,stay,more,right,never,exceptions
union,marry,restrict,restrict,right,right,choice,choice
no,no,restrict,deport,less,right,never,never
marry,marry,stay,citizen,more,more,choice,choice
no,no,deport,stay,right,right,need,exceptions
union,union,deport,restrict,right,more,exceptions,exceptions
marry,marry,stay,stay,right,right,choice,choice
no,union,stay,stay,more,right,never,never
union,union,restrict,stay,right,right,exceptions,exceptions
no,union,stay,stay,more,more,exceptions,exceptions
marry,marry,stay,stay,more,more,choice,need
marry,marry,stay,stay,more,more,choice,choice
